,Address,catid,Description,Name,Website,Telephone,Category,catId,lat,lng
46,"Plasglasgwm, Penmachno, Betws-y-coed, Conwy, LL24 0PU, Wales",Index-101321143401%252c,"Mountain biking has been the fastest growing outdoor activity for some time. Purpose-built tracks for both experienced and novice riders, in addition to an extensive network of forest trails, give unlimited biking potential.tyred out offers mountain bike guiding services for all levels of experience, enabling you to develop the skills needed for this irresistible sport. We offer mountain biking days that include elements of coaching and instruction and use a variety of terrain to develop your skills.A mountain biking day can be tailored to suit individual requirements... From mountain treks for a ride on the wild side to family-orientated breaks.",tyred out,http://www.tyred-out.com,+44 01690 760181,Cycling & Mountain Biking,3,53.0367283,-3.8303826
47,"Llechwedd, Blaenau Ffestiniog, Gwynedd, LL41 3NB, Wales",Index-101321143401%252c,"Antur Stiniog is one of only a few uplift centres in Wales which means you can spend the day riding and barely pedal. The centre is predominantly a downhill and free-ride centre with blue, red, black and double black trails. Trail features include flowy berms, big tabletops, rocky descents and double jumps but for a range of abilities. The uplift shuttle is direct and quick so it's possible to cover between 10 - 15 descents in one day. Confident riders will get the most out of this trail centre as even the blue graded trail is fast and steep at times.    Mountain Bike TrailsY Du (The Black): Black DH run with a super fast, flowy, jump top section with a gnarly steep rock section with big jumps to keep you on your toes, and then prepare for the steepness! Carved turns and berms all down an open hillside, finishing with another super steep rock roller and a jump section. A premier DH run.Black Powder: Black DH run sharing the top 50m of 'The Black' before a series of berms send you down the other side of the hill. Big rock sections and jumps await you as you traverse down the mountain side... not for the faint hearted!Wild Cart: Red DH / Freeride run with a super steep fun roll in through the opening berms and an endless supply of fun in the way of beautifully crafted corners, berms, jumps and step downs... from top to bottom. As much fun on a 6"""" travel bike as a full DH rig.'Drafft': Red DH / Freeride run with the same features as 'Wild Cart' but with slightly less 'GNAR'. Ideal as an introduction to DH / Freeride as all the features are rollable or jumpable, dependant on your riding skills!",Antur Stiniog Mountain Bike Centre,http://www.anturstiniog.com,+44 01766 238007,Cycling & Mountain Biking,3,53.0046097,-3.9423752
48,"Gwynedd, Barmouth, Gwynedd, LL41 4TA, Wales",Index-101321143401%252c,"The South Snowdonia Greenway is a 43 kilometre walking and cycling route which makes use of quiet roads and cycle-tracks to journey the open moorland, forests and estuary shores between Llyn Trawsfynydd and Barmouth in Southern Gwynedd. Following Sustrans Route 82 and then the Mawddach Trail, the Greenway follows an historic route linking North Wales to Dolgellau and the coastal resort of Barmouth.The section south of Trawsfynydd follows the old turnpike road to Dolgellau, and the eagle-eyed will spot one or two of the old milestones along the way.However, this old road dips in and out of an even older Roman road, Sarn Helen, coming south from the Tomen y Mur fort near the start of the route. Beyond Dolgellau, the Greenway follows the route of the old railway line, the Mawddach Trail to the coast, finishing across the iconic Barmouth Viaduct.The area is rich with historical sites, from the ancient Roman fort, through 18th and 19th century railways, copper smelting works and gold mines, to the relatively modern Second World War fortifications close to the coast.Those seeking adventure will also not be disappointed, as the route links two of the Eryri Centres of Excellence for adventure tourism at Llyn Trawsfynydd and Coed y Brenin. With the chance to try your hand at kayaking, fishing, mountain biking, high-ropes, orienteering and geocaching at these sites, there is plenty to do.For a hardy few, the Greenway might also make a running challenge; from the start to crossing the railway line in Barmouth is almost exactly a marathon length. To complete the experience, Visitor Centres at both Centres of Excellence offer good quality food and drink, along with plenty of choices for refreshments in Dolgellau and Barmouth.Section 1: 15km section of Greenway between Llyn Trawsfynydd and Coed y BreninSection 2: 12km section of Greenway between Coed y Brenin and DolgellauSection 3: 15km section of Greenway between Dolgellau and Barmouth",South Snowdonia Greenway,,+44 01341 430628,Cycling & Mountain Biking,3,52.9031618,-3.921694
49,"Yr Hen Ysgol, Brynrefail, Caernarfon, Gwynedd, LL55 3NR, Wales",Index-101321143401%252c,"Based in the heart of prime mountain biking territory, Bikefax aims to put together the best maps and information on mountain biking available. We started things off with a guide to Snowdonia, then we thought North East Wales deserved a guidebook too. Before we knew it we were packing ourselves off to the Alps and writing a guide to Morzine & Portes du Soleil.Then we went up north, to write 'Southern Scotland & the 7stanes, and most lately off to Spain for our very latest edition to the Bikefax factory, 'Mountain Bike Southern Spain'. No rest for the wicked, eh? As are so many good ideas, Bikefax was born on a rainy day in a café in North Wales. Berating the lack of quality information for mountain bikers in the UK, Sue bravely took on the task of writing a guide for her home patch of North Wales. Before long insanity had overtaken all of us and we had committed ourselves to setting up a company to provide clear dedicated trail information for the whole of the UK and abroad.",Bikefax,http://www.bike-fax.com,+44 01286 685489,Cycling & Mountain Biking,3,53.1513756,-4.1660229
50,"Coed Cae, Taicynhaeaf, Dolgellau, Gwynedd, LL40 2TU, Wales",Index-101321143401%252c,"Guides have National Governing Body qualifications issued through the Scottish Mountain Bike Leaders Association (SMBLA) part of British Cycling, the body responsible for cycle sports in the UK. As well as being tutors for this award scheme, we have organised biking trips and development courses at all levels throughout the UK and in the French and Swiss Alps.Dolgellau has a strong mountain biking pedigree; as well as having its own trail network, it is close to the purpose built and demanding routes within the Coed y Brenin and Corris forests, and the more naturalistic wilderness rides around Machynlleth. As such it is the perfect venue for novice and expert mountain bikers alike. We are pleased to offer a variety of MTB training courses to provide mountain bike guiding, instruction, skills and accredited development for mountain bike riders of all abilities or why not have a go at the Cadair Idris Challenge?",Snow Bikers,http://www.snowbikers.com,+44 01341 430628,Cycling & Mountain Biking,3,52.7610883,-3.9438283
51,"75 High Street, Bangor, Gwynedd, LL57 1NR, Wales",Index-101321143401%252c,No description available,Snowdonia Surf and Mountain,,+44 01248 354321,Cycling & Mountain Biking,3,53.2234857,-4.1303955
52,"Beddgelert, Caernarfon, Gwynedd, LL55 4YF, Wales",Index-101321143401%252c,"Aberglaslyn Hall is Leciestershires Outdoor Learning Centre. We can offer a full range of outdoor activities such as canoeing, kayaking, abseiling, coasteering, gorge walking as well as activities like rafting, field studies and team exercises.   The hall can accommodate up to 42 students and 6 staff.  Courses are usually residential but can also be run on a day visit basis.   All equipment is provided and the hall has three mini buses to transport all students.   Aberglaslyn is both AALS approved and has the Quality Badge from the Learning Outside the Classroom.   It is staffed by three fully qualified members of staff and can call on equally qualified members of staff should numbers dictate.     Contact Tel 01766 890233  Email aberglaslyn@beaumanor.rmplc.co.uk",Aberglaslyn Hall Outdoor Education,,+44 01766 890233,Cycling & Mountain Biking,3,52.9845655,-4.0970159
53,"Lakeside Cafe, Llyn Crafnant, Trefriw, Conwy, LL27 0JZ, Wales",Index-101321143771%252c,"Lake Crafnant is in the hills above Trefriw in a stunning North Wales valley. Fish for trout in this 63 acre natural mountain lake, stocked with rainbow trout and wild brown trout. Lakeside cafe and tea gardens. Also tackle for sale.",Llyn Crafnant Trout Fishing,http://www.crafnantfishing.co.uk,+44 01492 640818,Fishing,4,53.1435548,-3.8516545
54,"Carnguwch Organig Farm, Llithfaen, Pwllheli, Gwynedd, LL53 6NH, Wales",Index-101321143771%252c,"General  Llyn Carnguwch is a 2 1/2 acre, spring water fed lake at the foot of Yr Eifl mountains on the Llyn Beninsula.  It is part of Organig Parc, a working organic farm and 5-star, eco-friendly, holiday cottage complex, and is stocked with rainbow trout.    The lake has been specifically designed so that mobility impaired anglers have access via use of purpose built platforms, and a path on the north bank of the lake. The lakeside fisherman's hut (complete with water, electricity, kettle, & scales), and toilets are also wheelchair accessible.    Charges All day, 4 fish -'£28' (Catch & release after bag caught) 4 hours, 2 fish -16 (Catch & release after bag caught)  Under 12s must be accompanied by an adult.  Under 18s - half price  Sporting tickets -2.50 per hour, minimum 2 hours    Methods  Fishing is with artificial fly and single casts only.  All conventional wet or dry flies may be used with no restriction on size (no propeller flies, boobies or rubber tailed wagglers are allowed). Barbless or de-barbed hooks only to be used for catch & release fishing. Permits available from the reception at Organig Parc.","Organic Trout Fishing, Llyn Carnguwch",http://www.organigparc.co.uk,+44 01758 750000,Fishing,4,52.9501759,-4.4467463
55,"A5 Cerrigydrudion, Corwen, Gwynedd, LL21 9SW, Wales",Index-101321143771%252c,"The fishery is situated in the heart of Snowdonia National park. A 2.5 acre freshwater lake stocked with fine specimens of rainbow, brown, blue and golden trout with a minimum of 3lb in weight. The lake is stocked daily from stock pools on site. The lake itself is fed by underwater springs. We are located on the A5 about 1 mile from Cerrig-y-drudion and around 10 miles between Betsw-y-Coed, Corwen and Bala.We offer Rod Hire and Tuition and have a wide range of flies and fishing tackle for sale.Fresh Trout is always available for table or BBQ.Our purpose built Cafe serves home made food using fresh local produce.Our Garden Centre offers a wide selection of plants and gardening accessories.",Dragonfly Fisheries,http://www.dragonflyfishery.com,+44 01490 420530,Fishing,4,52.6785477,-2.4399437
56,"Southern Snowdonia, Tywyn, Gwynedd, LL36 9AJ, Wales",Index-101321143771%252c,"Tal-y-Llyn offers superb brown trout fishing and if you are looking for somewhere very different for a fishing holiday, or are just after an alternative to the somewhat sterile surroundings of many of our rainbow fisheries, Tal-y-Llyn is the answer. It has a good head of wild brown trout which is added to by a small stocking each year, but these fish quickly adapt to their new home. The glacial lake is fed by clear mountain water from the nearby heights.The brown trout season starts in April, and fishing from boat or bank is available. High water will be present at this time of year, but in a lake which has an average depth of only 8ft floating lines can be used from the outset. September will see the main run of sea trout and salmon into the river and as these runs have improved in numbers in recent years, good sport can be anticipated. The lake will have Daddies, Sedges and Heather flies about to keep the sea angler very busy.If you visit at the end of the lake's fishing season - mid October - you will find that many sea trout and salmon are inhabiting the lake making flyfishing very interesting indeed. These migratory fish lie at the mouths of the streams which run into the lake on the Northern shore and can add excitement if you hook a salmon or sea trout on brown trout tackle.The fishing is controlled at the Tynycornel Hotel at the lake side, and not only will you be able to fish Tal-y-Llyn itself but you will also have a wide variety of flyfishing on your doorstep. The hotel has all the facilities an angler could wish for such as drying room, rod rooms and freezer plus excellent rooms and great menus.If you like the wilds of the moors, the hotel also manages the fishing on Llyn Bugeilyn, about ten miles away above Machynlleth, and high up at 1800ft where it offers truly wild brown trout flyfishing where small black and Peacock spiders often work well. It can be fished from a drifting boat or from sections of the bank.Alternatively, if you like river fishing, a beat on the Dysynni can be booked. At the right time of year sea trout and salmon run right up the river to Tal-y-Llyn. Finally, go to the estuary where you may encounter bass which, taken on a fly, are tremendous fighters. This variety of fishing is what makes the area so special.Tynycornel Hotel is managed by Tom Rowlands, an avid and enthusiastic angler.As well as all this choice of fishing, Tom is keen to promote float tubing and has tubes for hire on Tal-y-Llyn and Bugeilyn. His particular love is flyfishing for bass at the Dysinni estuary, white frog nobblers being one of the flies which work well in this area.Tom even uses his float tube, in calm conditions, to fish slightly further into the channel which runs offshore from this small estuary. Mullet are encountered in the Broadwater Lagoon very close to the estuary, and in the right conditions can be taken on a fly, again something small and black such as a Williams' Favourite.So if you feel the need for freedom in a wild setting, or fancy new flyfishing challenges, Tal-y-Llyn is an excellent bet.",Tal-y-Llyn Lake,,+44 01654 78228,Fishing,4,52.6801507,-3.8882915
57,"Conwy Water Gardens And Coarse Fishery, Glyn Isa, Conwy, LL32 8TP, Wales",Index-101321143771%252c,"Many of our regular fishermen insist that we are North Wales Premier Fishery.All our lakes have purpose built fishing pegs with paths leading to all fishing pegs. Disabled access is available from our car park which is only 30 meters from our specimen lake & also toilet facilities are available next to the lakes.A tackle shop is on site with a good selection of basic tackle & baits such as maggots, worms, pellets & ground bait. Light refreshments are available from the shop and for something more substantial from the Dutch Pancake House and Restaurant serving delicious large sweet & savoury pancakes & a choice of specials from 11am.The hardest choice you will have to make is which lake to fish first. The 18 peg Cannel Lake is approximately 5-6ft deep with an island down its centre ideal for pole fishing or the newcomer to the sport. It is stocked with mixed Carp, Bream, tench, Barbel & Orfe all up to 4lb in weight. The Middle Specimen Lake was stocked over 15 years ago so the fish have had plenty of time to grow. It is 2 acres in size & is up to 10ft deep which makes it ideal for all year round fishing. The lake is stocked with 24lb+ carp, Ghosties, Crucians, Mirrors, Bream, Tench, Orfe, Barbel, Chub, Roach & Rudd so there is something for everyones taste.The Bottom Scenic Lake is situated in a small valley surrounded by trees which makes it a beautiful place to spend a summer’s day fishing. It is stocked with a mix of fish up to 6lb in weight.Fishing clubs are welcome & you can pre book any of the lakes.",Fishing at Conwy Water Gardens & Coarse,http://www.conwywatergardens.co.uk,+44 01492 650063,Fishing,4,53.2350063,-3.854911
58,"The Mountain Paragliding Centre, Mynydd Llandegai, Bangor, Gwynedd, LL57 4BZ, Wales",Index-101321143392%252c,"As well as selling paragliding equipment we also offer paragliding instruction to small groups and individuals. As a flight school, Snowdon Gliders has an enviable safety record built on the Chief Flying Instructor: Brad Nicholas's 20 year experience in Paragliding and Hanggliding.",Snowdon Gliders,http://www.snowdongliders.co.uk,+44 01248 600330,"Gliding, Ballooning & Skydiving",5,53.1724531,-4.0837262
59,"6 Waen Y Pandy, Tregarth, Bangor, Gwynedd, LL57 4RB, Wales",Index-101321143392%252c,"Snowdonia Sky Sports was set up by local pilots in 1990 to protect the local sites andthe interests of pilots flying in northern Snowdonia.Initially it was only a handful of local activists walking up on to the high mountains totake the huge fly downs the area offers and, at the time, there was little in the way ofclub maintenance. But as our sport has grown and sites become more crowded,inevitably issues have occurred and so the need for the clubs existence has became moreand more important.Hang gliding and paragliding are very visual sports. We and many others love to seepilots free flying around the hills but, to landowners and farmers, we can sometimes beseen as an increasing problem and even a threat to their livelihoods. All our sites are in atraditional hill farming area and livestock is almost always present whenever we fly.Conflict between landowners and the free flying community can easily occur in thesesensitive areas, and sites can be lost through one unfortunate incident.SSS now manages the flying sites on and around the Snowdon massif and, in agreementwith the National Park, National Trust and the other private landowners, it is therecognised representative body for hang gliding and paragliding in the area. Our sitesare registered with the BHPA, but site sovereignty goes nowhere without the consent ofthe landowners themselves. SSS works hard to keep communication and relationshipsopen and positive with the local landowners but this relies heavily on the attitude of thepilots on the hill.Understanding the negotiated agreements for flying in this area is key to the continuedfreedom we have in these hills. SSS has produced a guide to all the major flying sites inthis area, detailing the parking and launching agreements and any local restrictionsarranged with the landowners - your possession of this information in everyone'sinterest.Your membership to SSS helps pay for the production of these sites guides andnewsletters and goes towards helping us maintain good open relationships with thelandowners, with the limited resources we have.Northern Snowdonia is an incredible place to fly and with everyone's help it can remainan open and friendly area to fly. Please respect the information provided in the sitesguide and go out and enjoy some of the finest mountain flying in the UK.",Snowdonia Sky Sports,http://www.snowdoniaskysports.co.uk,+44 01248 600940,"Gliding, Ballooning & Skydiving",5,53.1856768,-4.0966109
60,"Y Bala Golf Club, Penlan, Bala, Gwynedd, LL23 7YD, Wales",Index-1013211434034209%252c,"Bala Golf Course is a very challenging 10-hole course looking over Bala Lake or Llyn Tegid - at over 3 miles long the largest natural lake in Wales. Designed by the renowned Llandudno Pro, Syd Collins, the course has given nature a free hand in providing the natural hazards required for a great round of golf. Whether you are Tiger Woods or merely a beginner, you will find the test of skill at Bala intriguing without being too exacting. The clean Bala air also imparts wonderful vigour to a great day's golfing.",Y Bala Golf Club,http://www.golffbala.co.uk,+44 01678 520359,Golf,6,52.9115621,-3.6147519
61,"Crawia Road, Llanrug, Caernarfon, Gwynedd, LL55 4BS, Wales",Index-1013211434034209%252c,"Tyddyn Mawr is a nine hole pay as you play course set on undulating parkland which prides itself in its no frills – no fuss golf. The course is the dreamchild of the late Meirion Hughes, who was keen to provide golfing opportunities for all, including providing an opportunity for young people to take up the game.",Tyddyn Mawr Golf Club,,+44 01286 674919,Golf,6,53.1539504,-4.1957667
62,"Pistyll, Pwllheli, Gwynedd, LL53 6LY, Wales",Index-1013211434034209%252c,"Gwynus Golf Course is Snowdonia's latest golf course which overlooks the Irish Sea to the north and Cardiagan Bay to the South. The 9 hole par 3 parkland course boasts some of the most spectacular scenary to be found around any golf course in Wales. Amongst its pleasant surroundings families or the unitiated can enjoy a round of golf in total tranquility. Coaching is available on request. The course also provides bags, a wide selection of clubs, putters, including childrens sets and left handed sets.",Gwynus Golf Course,http://www.golfateeswales.co.uk,+44 01286 660440,Golf,6,52.9563868,-4.4720364
63,"Golf Road, Abersoch, Gwynedd, LL53 7NN, Wales",Index-1013211434034209%252c,"Located on the Cambrian Coast in Snowdonia North Wales, Abersoch offers 18 holes of challenging links and parkland golf.Take for example the signature 246 yard par 3, 3rd hole with elevated tee and panoramic views requiring an accurate drive over both gorse and a water hazard to a sloping green with a bunker waiting at the back. Follow that with links holes hugging the coastline and contoured over a century ago through huge, natural sandunes, accuracy is key here as wayward drives are punished. Abersoch is the Welsh riviera with plenty of summer sun, sea, sand and lively nightlife. Why not make a short break of it? A full day of Golf, a meal and a couple of drinks in our clubhouse then hit the village bars and clubs!",Abersoch Golf Club,http://www.abersochgolf.co.uk,+44 01758 7126,Golf,6,52.8211326,-4.5055824
64,"Old Church Road, Betws-y-coed, Conwy, LL24 0AL, Wales",Index-1013211434034209%252c,"This parkland course will certainly shatter any illusions golfers may have that 9 hole golf is merely pitch and put. Although there are only nine greens at Betws y Coed, a second set of trees ensures 18 individual challenges to all standards of golfers, males and females, young and old. Tight fairways and well guarded  greens provide a true test of skill for visiting golfers. With beautiful views of the Snowdonia mountains and the Conwy Valley providing a constant backdrop, along with meandering rivers running alongside the course, this is a real slice of golf heaven.Golf parties and visitors are always welcome here.",Betws-y-Coed Golf Club,http://www.betws-y-coedgolfclub.co.uk,+44 01690 710556,Golf,6,53.0931527,-3.798956
65,"Pen Y Berth, Penrhos, Pwllheli, Gwynedd, LL53 7HG, Wales",Index-1013211434034209%252c,"At Pen-y-Berth you will find a marvelous all weather facility, suitable for beginners and experienced golfers wishing to improve their swing and all aspects of their game. Llyn Golf is happy to announce that a new 9 hole pay and play Golf Course is now open. For further information and a map/directions please visit our website.",Llyn Golf Centre,http://www.pen-y-berth.co.uk,+44 01758 701200,Golf,6,52.878529,-4.473289
66,"Llanfaglan, Caernarfon, Gwynedd, LL54 5RP, Wales",Index-1013211434034209%252c,"Originally constructed in 1909 and extended to 18 holes in 1981, The Royal Town of Caernarfon Golf Club offers a good test to golfers of all abilities.With panoramic views of Wales highest mountain, Caernarfon Castle and the Isle of Anglesey this is a must play course for any golfing visitor to Wales.",Caernarfon Golf Club,http://www.caernarfongolfclub.co.uk,+44 01286 673783,Golf,6,53.117104,-4.287154
67,"Ednyfed Hill, Criccieth, Gwynedd, LL52 0PH, Wales",Index-1013211434034209%252c,"This hilltop golf course is a mile inland from the seaside resort of Criccieth. It is renowned for its surroundings, with the 16th tee offering spectacular views of the Llyn Penisula, the Rhiogydd Mountain Range and Cardigan Bay. Three prime ministers have played golf in Criccieth - David Lloyd George, Andrew Bonar Law and Winstan Churchill. Open competitions are held every Bank holiday and the club 'Open Week' is held in the first week of June.",Criccieth Golf Club,http://www.cricciethgolfclub-northwales.co.uk,+44 01766 523691,Golf,6,52.9290409,-4.2320194
68,"Conwy Old Road, Penmaenmawr, Penmaenmawr, Conwy, LL34 6RD, Wales",Index-1013211434034209%252c,"Penmaenmawr golf course is as challenging in golf as it is stimulating in scenic beauty. 9 hole (18 tees), 5350 yds, par 67, SSS 66, Parkland.",Penmaenmawr Golf Club,http://www.pengolf.co.uk,+44 01492 623330,Golf,6,53.2735509,-3.9018624
69,"Penamser Road, Porthmadog, Porthmadog, Gwynedd, LL49 9DS, Wales",Index-1013211434034209%252c,"- 17 bay floodlit range, 10 bays inside undercover, 7 outside - Range 370 yards long - Stocked pro shop with 2 PGA professionals onsite - Explanar Pro Training System - Free lessons - Free Club hire - Confectionery & drinks available  - Group / Individual lessons available - Everyone welcome",Porthmadog Golf Driving Range,http://www.porthmadoggolfrange.co.uk,+44 01766 514225,Golf,6,52.9302497,-4.1445153
70,"Lon Golff, Morfa Nefyn, Pwllheli, Gwynedd, LL53 6DA, Wales",Index-1013211434034209%252c,"Golfers are able to """"see the sea from every tee"""" at Nefyn. Choose from either """"The Old Course - The Point"""" comprising of the front 10 and the old 8 or """"The New Course"""" comprising of the front 10 and the new 8. 26 holes of unadulturated golfing heaven where golfers can """"see the sea from every tee"""", Anglesey from every fairway, Snowdonia from every green and on a clear day, over the Irish Sea to the Wicklow Mountains.",Nefyn and District Golf Club,http://www.nefyn-golf-club.co.uk,+44 01758 720966,Golf,6,52.9360706,-4.561117
71,"St Deiniol's Golf Club, Pen Y Bryn, Bangor, Gwynedd, LL57 1PX, Wales",Index-1013211434034209%252c,"Founded in 1906, extended and redesigned to 18 holes by James Braid in 1911. St. Deiniol, the name taken from the saint who founded the original church in the 6th century. The Clubhouse has two bars, restaurant, ladies room, lockers and showers. Men's locker room and shower. Small driving range. Two practice nets and parking facilities. Open all year - no temporary greens. Panoramic views of Snowdonia and North Wales Coast.",St Deiniol's Golf Club,http://www.st-deiniol.co.uk,+44 01248 353098,Golf,6,53.2300489,-4.1131927
72,"Gwynedd, Dolgellau, Gwynedd, LL40 2ES, Wales",Index-1013211434034209%252c,"Set amidst spectacular mountain backdrops Dolgellau Golf Club is considered to be one of the most beautiful courses in Wales. Do not be fooled by its lack of length, this 9 hole course with alternating tees for the second nine provides a true test of golf for all standards of golfer. Its small & well protected greens will reward a good straight shot and the free draining land means suberb playing conditions can be maintained even in wet weather ensuring year round play.The course is overlooked by Cader Idris, one of the highest mountains in Wales and the top 6 holes provide stunning views of the Mawdaach estuary and beyond.The club celebrates its centenary in 2010 and the splendid new clubhouse now offers an extensive food & beverage menu and is open all day every day to all golfers and the general public. With space for 150 diners the clubhouse can host a variety of different functions.",Dolgellau Golf Club,http://www.dolgellaugolfclub.com,+44 01341 422603,Golf,6,52.7464166,-3.8788952
73,"Porthmadog Golf Club, Morfa Bychan, Porthmadog, Gwynedd, LL49 9UU, Wales",Index-1013211434034209%252c,"Situated in the seaside village of Morfa Bychan renowned for its black rock ands, the course offers a mix of heathland and linksland for the discerning golfer. The course has two distinct halves. The front nine are away from the coast with the back nine heading for the sea, and some beautiful scenary, where the course is transformed into pure links, often, claimed to be one of the most natural nine holes in Wales.",Porthmadog Golf Club,http://www.porthmadog-golf-club.co.uk,+44 01766 514124,Golf,6,52.9130704,-4.1567262
74,"Pwllheli Golf Club, Pwllheli, Pwllheli, Gwynedd, LL53 5PS, Wales",Index-1013211434034209%252c,"Situated close to the seashore near Pwllheli's West End, this flat course offers both gentle parkland and a true test of links golf, making it suitable for golfers of all ages and abilities. The course is characterised by tree lined fairways and picture perfect surrounding countryside. After a round of golf, players can relax in the clubhouse in one of two lounge bars, whilst enjoying the superb views of Cardigan Bay.",Pwllheli Golf Club,http://www.pwllheligolfclub.co.uk,+44 01758 701644,Golf,6,52.8785519,-4.4330647
75,"Llanfairfechan Golf Club, Llanerch Road, Llanfairfechan, Conwy, LL33 0EB, Wales",Index-1013211434034209%252c,"Llanfairfechan is a parkland course founded in 1971. It's best characteristic is probably its superb year-round condition as it enjoys a mild climate for most of the year. This neat little 9-holer has its fair share of twists and turns. Although short, you'll be required to hit a variety of shots in order to score well. Bar open weekends and 1-4pm week days in summer. The town itself is a relatively small seaside town lying between Conwy and Bangor, so the views out to sea and inland are quite superb.",Llanfairfechan Golf Club,,+44 01248 680524,Golf,6,53.2482428,-3.9755444
76,"Treborth Driving Range, Treborth Road, Bangor, Gwynedd, LL57 2RX, Wales",Index-1013211434034209%252c,"Lessons by P.G.A Pro. Well stocked accessory shop, 9 hole golf course, driving range. Putting green, practice bunkers, pitching areas, special group events arranged. Fully paved access and car park.",Treborth Driving Range,http://www.treborthleisure.co.uk,+44 01248 371170,Golf,6,53.2146596,-4.1695599
77,"Glynllifon, Caernarfon, Gwynedd, LL54 5DU, Wales",Index-101321143402%252c,"Coleg Meirion-Dwyfor has something for everyone, whatever your age, background or interest.",Coleg Meirion-Dwyfor,,+44 01286 830261,Horse Riding,7,53.0789776,-4.2814765
78,"Cilan Fawr, Cilan, Abersoch, Gwynedd, LL53 7DD, Wales",Index-101321143402%252c,"All the activities associated with a coastal holiday resort are available at their very best, at Abersoch. These include sailing, surfing, swimming, fishing, golfing, rambling, horse riding and cycling, to name but a few.",Cilan Riding Centre,http://www.abersochholidays.net,+44 01758 713276,Horse Riding,7,52.7915688,-4.5262948
79,"Bwlchgwyn, Aberdyfi, Aberdovey, Gwynedd, LL35 0SG, Wales",Index-101321143402%252c,"The Yard Managed by Rachel Davies.Rachel has been riding since the age of three and is a qualified BHS instructor and can take freelance lessons and teach from the yard. Rachel also successfully produces ponies for breaking, schooling and showing On behalf of clients this season, she is currently producing for the show ring Section C gelding, 'Peasedown Diplomat' She is also schooling a young Section D stallion who may be for sale later this year.  Please ring for enquiries regarding schooling/show productionPlease ring for costs of lessons and Yard services. Click here to contact the Yard.Achievements in 2009 see our news page by clicking here.Historic Achievements in 2005 included:3 supreme championships including qualification for PUK and BSPS2 reserve  supreme championships7  championships5 reserve championships 24 firstsTwice county champion and winner of two welsh cob performance medalsIn 2006 the partnership have qualified for NPS Summer championshipsRachel produces for the sale and show ring, please check the Yard news for regular information regarding current showing activities and availability of horses or ponies for sale on behalf of clientsFacilities available at the Yard include* DIY, part or full livery at our BHS approved yard* B and B for Horses Call Rachel for horse b&b details.* 40 X 20 sand and rubber ménage* Production of horses and ponies for show and sale* Breaking and schooling* Excellent off road hacking and beach riding",The Yard,http://www.retiredhorselivery.co.uk,+44 01654 768109,Horse Riding,7,52.5554984,-4.0441829
80,"Ty Coch Farm, Penmachno, Betws-y-coed, Conwy, LL25 0HJ, Wales",Index-101321143402%252c,"The riding centre at Gwydyr Stables (formerly Ty Coch) was established in 1973 and offers a wonderful location for horse riding, pony trekking or extended day trail rides. We are situated 4 miles from Betws y Coed and surrounded by National Trust and Forestry Commission land. It provides breathtaking scenery in which to enjoy the excellent views across the Snowdonia Mountains.Individuals or groups are catered for by a team of experienced staff conducting rides on a variety of over 30 horses that range in size and ability from novice treks to experienced rides. The staff have to undergo continuous development especially on safety issues including first aid and riding qualifications. Radio contact is maintained with the centre during treks.Rides are available throughout the year from a half-hour to full day, including summer evenings. Why not try our celebrated pub ride? Also available is our two or three-day trail rides around the area, with either camping, bunkhouse, B & B or hotel accommodation to chose from.",Gwydir Stables Ltd,http://www.horse-riding-wales.co.uk,+44 01690 760248,Horse Riding,7,53.0535243,-3.8424792
81,"Waunfawr, Caernarfon, Caernarfon, Gwynedd, LL55 4PQ, Wales",Index-101321143402%252c,"Located in North Wales between Snowdon and the sea, Snowdonia Riding Stables offers you superb riding amongst some of the best mountain and coastal scenery in the British Isles, whether you are a complete beginner or a competent rider.With miles of traffic free bridleways we have access through spectacular scenery amongst the foothills of Snowdon. We have carefully selected horses and ponies to provide a range of sizes, types and temperaments to suit riders all abilities (or none at all!) We have been established over 30 years with a wealth of experience, and some of our customers are third generation! Snowdonia Riding Stables is an approved British Horse Society Riding School and Trekking Centre and is approved by the Pony Club.",Snowdonia Riding Stables,http://www.snowdoniaridingstables.co.uk,+44 01286 65034,Horse Riding,7,53.1135078,-4.2239487
82,"High Street, Llanberis, Gwynedd, LL55 4SU, Wales",Index-101321143402%252c,"One/two hour, half and full day treks on the foothills of Snowdon. Riding holidays can also be arranged. We cater from novice to experienced alike.",Dolbadarn Pony Trekking Centre,http://www.dolbadarnhotel.co.uk,+44 01286 870277,Horse Riding,7,53.1190215,-4.1258534
83,"Llannerch Farm, Porthmadog, Gwynedd, LL49 9UR, Wales",Index-101321143402%252c,"A complete range of services we can offer you for  that special holiday or family day out. For more  serious riders we offer trekking holidays, you  can even bring your own horse (we will provide stable and livery) and stay on our 250 acre site, and enjoy the miles of off road trekking with stunning views that we have to offer. For those more mechanically minded we also offer Junior Quad biking on our own circuit, a Bunnyland where you can meet he pets here at the centre, together with the usual light refreshments.",Porthmadog Activity Centre,http://porthmadog-activity-centre.co.uk,+44 01766 512468,Horse Riding,7,52.9215434,-4.139638
